WallTime,Step,Value
1649013217.0337896,31953,0.0
1649013228.9257717,31976,3.0
1649013248.5730932,32014,4.0
1649013333.5828493,32173,0.0
1649013375.462124,32254,2.0
1649013507.6010768,32507,0.0
1649013514.9496934,32521,0.0
1649013539.6995637,32569,0.0
1649013565.831732,32616,0.0
1649013633.0767353,32746,0.0
1649013666.831779,32811,2.0
1649013673.4359941,32824,1.0
1649013673.9435816,32825,1.0
1649013716.1975226,32902,1.0
1649013749.1724238,32966,4.0
1649013772.9062386,33012,4.0
1649013917.6083336,33279,1.0
1649013984.3194275,33408,3.0
1649013993.46068,33426,3.0
1649014001.324336,33441,3.0
1649014139.23482,33701,2.0
1649014143.7366064,33709,2.0
1649014192.4686198,33803,2.0
1649014221.4527986,33859,3.0
1649014223.9902618,33864,2.0
1649014225.0055828,33866,2.0
1649014235.6059,33886,2.0
1649014306.742321,34021,0.0
1649014342.389307,34089,0.0
1649014351.8195403,34107,0.0
1649014398.9647005,34197,2.0
1649014440.454653,34276,2.0
1649014443.3049405,34281,2.0
1649014487.9705708,34364,0.0
1649014542.9946215,34464,1.0
1649014548.5869288,34475,1.0
1649014560.9066446,34499,1.0
1649014625.4509213,34623,3.0
1649014686.5513818,34741,0.0
1649014756.9964013,34877,3.0
1649014773.6113012,34909,1.0
1649014784.8313627,34931,1.0
1649014788.4034264,34938,1.0
1649014793.2199862,34947,1.0
1649014794.236528,34949,0.0
1649014795.2525752,34951,0.0
1649014803.5657651,34967,0.0
1649014844.527124,35046,2.0
1649014881.144233,35114,2.0
1649014894.5225542,35140,4.0
1649014911.7049613,35173,1.0
1649014934.5386944,35217,0.0
1649015020.9469695,35377,2.0
1649015065.5500476,35464,2.0
1649015072.391892,35477,2.0
1649015097.548054,35526,1.0
1649015110.4723425,35551,0.0
1649015124.945829,35579,0.0
1649015154.9786284,35635,1.0
1649015190.9975703,35704,2.0
1649015221.8487446,35764,0.0
1649015282.1934927,35874,0.0
1649015302.2109532,35913,1.0
1649015320.9228563,35948,2.0
1649015356.8059313,36008,2.0
1649015427.7288678,36142,0.0
1649015451.135909,36186,0.0
1649015490.8772948,36262,3.0
1649015617.9292877,36501,0.0
1649015666.6945803,36596,1.0
1649015674.8271465,36612,1.0
1649015684.8449147,36631,1.0
1649015714.7635095,36686,3.0
1649015719.280703,36694,3.0
1649015739.2947066,36730,3.0
1649015808.5616834,36864,1.0
1649015820.0763345,36886,1.0
1649015821.0918052,36888,1.0
1649015823.0537717,36891,1.0
1649015829.162479,36903,1.0
1649015836.583252,36917,1.0
1649015846.7468264,36937,4.0
1649015877.334605,36996,1.0
1649015915.0470126,37065,2.0
1649015922.201968,37079,2.0
1649015941.621557,37116,0.0
1649015977.3411138,37182,1.0
1649015988.9270957,37204,1.0
1649016074.9498906,37367,2.0
1649016143.2774851,37498,0.0
1649016182.721584,37574,0.0
1649016201.770203,37611,0.0
1649016221.5346208,37647,2.0
1649016235.498708,37674,0.0
1649016278.0994055,37749,2.0
1649016307.277121,37803,0.0
1649016310.049573,37808,0.0
1649016386.351288,37937,1.0
1649016409.1229174,37981,1.0
1649016514.0448592,38176,1.0
1649016624.5636556,38386,2.0
1649016625.07149,38387,2.0
1649016636.2331274,38408,3.0
1649016679.6257393,38487,0.0
1649016695.6411824,38518,2.0
1649016718.9608097,38563,0.0
1649016849.2829058,38805,0.0
1649016866.5606565,38839,2.0
1649016887.583682,38880,0.0
1649016897.1876974,38898,0.0
1649016962.5568087,39025,0.0
1649017076.938373,39238,1.0
1649017189.4460738,39451,2.0
1649017203.0863113,39477,2.0
1649017242.98756,39551,3.0
